ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion
708746,2017-08-17,2017-08-17,916,103916,30-34,M,15,17,17,7350.0,1,1.429999948,2.0,1.0
708749,2017-08-17,2017-08-17,916,103917,30-34,M,16,19,21,17861.0,2,1.820000023,2.0,0.0
708771,2017-08-17,2017-08-17,916,103920,30-34,M,20,25,22,693.0,0,0.0,1.0,0.0
708815,2017-08-30,2017-08-30,916,103928,30-34,M,28,32,32,4259.0,1,1.25,1.0,0.0
708818,2017-08-17,2017-08-17,916,103928,30-34,M,28,33,32,4133.0,1,1.289999962,1.0,1.0
708820,2017-08-17,2017-08-17,916,103929,30-34,M,29,30,30,1915.0,0,0.0,1.0,1.0
708889,2017-08-17,2017-08-17,916,103940,30-34,M,15,16,17,15615.0,3,4.769999981,1.0,0.0
708895,2017-08-17,2017-08-17,916,103941,30-34,M,16,20,18,10951.0,1,1.269999981,1.0,1.0
708953,2017-08-17,2017-08-17,916,103951,30-34,M,27,31,31,2355.0,1,1.5,1.0,0.0
708958,2017-08-30,2017-08-30,916,103952,30-34,M,28,32,31,9502.0,3,3.159999967,1.0,0.0
708979,2017-08-30,2017-08-30,916,103955,30-34,M,31,37,34,1224.0,0,0.0,1.0,0.0
709023,2017-08-29,2017-08-29,916,103962,30-34,M,7,8,8,735.0,0,0.0,1.0,0.0
709038,2017-08-29,2017-08-29,916,103965,30-34,M,16,20,22,5117.0,0,0.0,1.0,0.0
709040,2017-08-29,2017-08-29,916,103965,30-34,M,16,19,21,5120.0,0,0.0,1.0,0.0
709059,2017-08-30,2017-08-30,916,103968,30-34,M,20,26,23,14669.0,7,10.28000021,1.0,1.0
709105,2017-08-30,2017-08-30,916,103976,30-34,M,28,30,32,1241.0,0,0.0,1.0,1.0
709115,2017-08-30,2017-08-30,916,103978,30-34,M,30,34,31,2305.0,1,0.569999993,1.0,0.0
709124,2017-08-30,2017-08-30,916,103979,30-34,M,31,34,33,1024.0,0,0.0,1.0,1.0
709179,2017-08-30,2017-08-30,916,103988,35-39,M,15,16,17,4627.0,1,1.690000057,1.0,0.0
709183,2017-08-30,2017-08-30,916,103989,35-39,M,16,20,22,21026.0,4,4.630000114,2.0,1.0
709320,2017-08-17,2017-08-17,916,104012,35-39,M,15,21,20,1422.0,0,0.0,1.0,1.0
709323,2017-08-17,2017-08-17,916,104012,35-39,M,15,17,19,7132.0,2,2.609999895,1.0,0.0
709326,2017-08-18,2017-08-18,916,104013,35-39,M,16,22,22,12190.0,2,3.049999952,1.0,0.0
709327,2017-08-18,2017-08-18,916,104013,35-39,M,16,22,20,12193.0,2,3.059999943,1.0,1.0
709328,2017-08-18,2017-08-18,916,104013,35-39,M,16,19,18,3332.0,0,0.0,1.0,1.0
709455,2017-08-18,2017-08-18,916,104034,35-39,M,7,12,10,559.0,0,0.0,1.0,0.0
709544,2017-08-18,2017-08-18,916,104049,35-39,M,29,33,32,7440.0,2,2.980000019,1.0,1.0
709614,2017-08-19,2017-08-19,916,104061,40-44,M,16,19,20,19113.0,4,5.5200001,1.0,0.0
709756,2017-08-19,2017-08-19,916,104085,40-44,M,16,21,21,10976.0,2,1.690000057,1.0,1.0
709761,2017-08-18,2017-08-18,916,104085,40-44,M,16,19,20,2861.0,0,0.0,1.0,0.0
709899,2017-08-18,2017-08-18,916,104108,40-44,M,15,18,20,1398.0,0,0.0,1.0,1.0
709901,2017-08-18,2017-08-18,916,104109,40-44,M,16,18,20,23817.0,7,8.470000148,1.0,1.0
710045,2017-08-17,2017-08-17,916,104133,45-49,M,16,22,17,47224.0,12,15.82000017,1.0,0.0
710088,2017-08-17,2017-08-17,916,104140,45-49,M,24,26,27,2283.0,1,1.470000029,1.0,0.0
710360,2017-08-17,2017-08-17,916,104185,45-49,M,21,26,24,2182.0,1,1.529999971,1.0,1.0
710477,2017-08-17,2017-08-17,916,104205,30-34,F,16,19,19,2654.0,0,0.0,1.0,1.0
710480,2017-08-17,2017-08-17,916,104205,30-34,F,16,21,20,57665.0,14,18.06999969,1.0,1.0
710571,2017-08-18,2017-08-18,916,104220,30-34,F,32,37,38,3091.0,1,1.610000014,1.0,1.0
710617,2017-08-18,2017-08-18,916,104228,30-34,F,15,19,16,5014.0,1,1.190000057,1.0,0.0
710623,2017-08-18,2017-08-18,916,104229,30-34,F,16,19,20,38726.0,7,9.220000267,1.0,0.0
710628,2017-08-17,2017-08-17,916,104230,30-34,F,18,24,22,1473.0,0,0.0,1.0,0.0
710682,2017-08-29,2017-08-29,916,104239,30-34,F,27,33,32,1186.0,0,0.0,1.0,0.0
710763,2017-08-29,2017-08-29,916,104252,30-34,F,15,19,17,5369.0,1,1.50999999,1.0,0.0
710836,2017-08-27,2017-08-27,916,104265,30-34,F,29,33,31,22221.0,7,9.430000067,1.0,1.0
710867,2017-08-26,2017-08-26,916,104270,30-34,F,63,64,68,1185.0,0,0.0,1.0,0.0
710880,2017-08-26,2017-08-26,916,104272,30-34,F,65,70,68,13019.0,5,6.960000038,1.0,0.0
710961,2017-08-27,2017-08-27,916,104285,35-39,F,25,29,26,2508.0,1,1.220000029,1.0,0.0
710968,2017-08-27,2017-08-27,916,104287,35-39,F,27,31,29,5864.0,2,2.799999952,1.0,1.0
711217,2017-08-27,2017-08-27,916,104328,35-39,F,20,26,23,2783.0,1,1.600000024,1.0,0.0
711623,2017-08-27,2017-08-27,916,104396,40-44,F,15,18,20,3812.0,1,1.129999995,2.0,1.0
711764,2017-08-27,2017-08-27,916,104419,45-49,F,10,16,11,11199.0,4,5.730000019,1.0,1.0
711785,2017-08-26,2017-08-26,916,104423,45-49,F,19,25,23,292.0,0,0.0,1.0,0.0
711877,2017-08-26,2017-08-26,916,104438,45-49,F,63,67,65,17572.0,7,9.379999995,1.0,0.0
712052,2017-08-25,2017-08-25,916,104467,45-49,F,10,13,11,1448.0,0,0.0,1.0,1.0
734209,2017-08-25,2017-08-25,936,108654,30-34,M,10,16,14,1772.0,0,0.0,1.0,1.0
734210,2017-08-25,2017-08-25,936,108654,30-34,M,10,16,13,13329.0,4,5.629999995,1.0,1.0
734215,2017-08-26,2017-08-26,936,108655,30-34,M,15,19,17,13659.0,3,3.840000033,1.0,0.0
734243,2017-08-26,2017-08-26,936,108660,30-34,M,21,23,24,739.0,0,0.0,1.0,1.0
734266,2017-08-26,2017-08-26,936,108664,30-34,M,25,30,27,605.0,0,0.0,1.0,0.0
734272,2017-08-26,2017-08-26,936,108665,30-34,M,26,32,29,1030.0,0,0.0,1.0,0.0
734290,2017-08-26,2017-08-26,936,108668,30-34,M,29,32,35,5374.0,1,1.039999962,4.0,0.0
734313,2017-08-26,2017-08-26,936,108672,30-34,M,36,38,38,790.0,0,0.0,1.0,1.0
734314,2017-08-27,2017-08-27,936,108672,30-34,M,36,38,38,962.0,0,0.0,1.0,0.0
734352,2017-08-27,2017-08-27,936,108678,35-39,M,10,11,16,4423.0,1,1.460000038,1.0,1.0
734361,2017-08-29,2017-08-29,936,108680,35-39,M,16,19,19,12382.0,2,2.839999914,1.0,1.0
734381,2017-08-29,2017-08-29,936,108683,35-39,M,20,25,24,2938.0,1,1.350000024,1.0,1.0
734399,2017-08-28,2017-08-28,936,108686,35-39,M,23,24,27,239.0,0,0.0,1.0,0.0
734418,2017-08-29,2017-08-29,936,108689,35-39,M,26,27,28,591.0,0,0.0,1.0,0.0
734421,2017-08-29,2017-08-29,936,108690,35-39,M,27,29,32,10332.0,4,5.75,1.0,0.0
734427,2017-08-29,2017-08-29,936,108691,35-39,M,28,29,31,8259.0,3,3.980000019,1.0,0.0
734433,2017-08-29,2017-08-29,936,108692,35-39,M,29,35,31,12158.0,3,4.449999928,1.0,0.0
734582,2017-08-29,2017-08-29,936,108716,40-44,M,29,33,33,7709.0,2,1.320000052,2.0,0.0
734605,2017-08-28,2017-08-28,936,108720,40-44,M,36,37,41,834.0,0,0.0,1.0,0.0
734660,2017-08-28,2017-08-28,936,108729,45-49,M,18,22,23,1299.0,0,0.0,2.0,0.0
734666,2017-08-28,2017-08-28,936,108730,45-49,M,19,24,20,371.0,0,0.0,1.0,0.0
734726,2017-08-28,2017-08-28,936,108740,45-49,M,29,30,35,10466.0,3,4.090000033,1.0,0.0
734737,2017-08-27,2017-08-27,936,108742,45-49,M,31,37,33,839.0,0,0.0,1.0,0.0
734785,2017-08-28,2017-08-28,936,108750,30-34,F,10,13,13,5576.0,1,1.529999971,1.0,1.0
734794,2017-08-28,2017-08-28,936,108752,30-34,F,16,19,17,4010.0,0,0.0,1.0,0.0
734796,2017-08-28,2017-08-28,936,108752,30-34,F,16,22,17,39337.0,7,10.03000009,1.0,1.0
734800,2017-08-28,2017-08-28,936,108753,30-34,F,18,20,20,1635.0,0,0.0,1.0,0.0
734803,2017-08-28,2017-08-28,936,108753,30-34,F,18,19,21,1631.0,0,0.0,1.0,0.0
734852,2017-08-28,2017-08-28,936,108761,30-34,F,26,30,29,13479.0,3,4.25,1.0,0.0
734854,2017-08-19,2017-08-19,936,108762,30-34,F,27,33,32,57022.0,13,20.29000032,3.0,3.0
734856,2017-08-19,2017-08-19,936,108762,30-34,F,27,28,32,5453.0,1,1.389999986,1.0,1.0
734866,2017-08-20,2017-08-20,936,108764,30-34,F,29,32,31,11803.0,3,4.440000057,1.0,0.0
734881,2017-08-20,2017-08-20,936,108766,30-34,F,31,32,34,4259.0,1,1.570000052,1.0,1.0
734901,2017-08-20,2017-08-20,936,108770,30-34,F,64,70,68,1554.0,0,0.0,1.0,0.0
734903,2017-08-20,2017-08-20,936,108770,30-34,F,64,69,67,5323.0,1,1.289999962,1.0,1.0
734925,2017-08-20,2017-08-20,936,108774,35-39,F,10,11,12,5024.0,1,1.409999967,1.0,1.0
734939,2017-08-20,2017-08-20,936,108776,35-39,F,16,19,22,104648.0,24,33.33000004,4.0,2.0
734968,2017-08-20,2017-08-20,936,108781,35-39,F,22,25,27,8504.0,3,3.340000093,1.0,1.0
734999,2017-08-20,2017-08-20,936,108786,35-39,F,27,32,32,20277.0,6,8.050000072,1.0,0.0
735014,2017-08-19,2017-08-19,936,108788,35-39,F,29,34,30,12403.0,4,5.210000038,1.0,1.0
735032,2017-08-19,2017-08-19,936,108791,35-39,F,32,33,34,498.0,0,0.0,1.0,1.0
735033,2017-08-18,2017-08-18,936,108792,35-39,F,36,40,40,652.0,0,0.0,0.0,0.0
735043,2017-08-18,2017-08-18,936,108793,35-39,F,63,65,69,1357.0,0,0.0,1.0,1.0
735048,2017-08-18,2017-08-18,936,108794,35-39,F,64,65,68,1393.0,0,0.0,1.0,0.0
735065,2017-08-19,2017-08-19,936,108797,40-44,F,7,10,12,648.0,0,0.0,1.0,0.0
735109,2017-08-19,2017-08-19,936,108804,40-44,F,21,26,25,708.0,0,0.0,1.0,1.0
735140,2017-08-19,2017-08-19,936,108809,40-44,F,26,27,31,6907.0,2,2.349999964,1.0,0.0
735143,2017-08-19,2017-08-19,936,108810,40-44,F,27,28,30,39035.0,13,19.32999957,1.0,0.0
735151,2017-08-19,2017-08-19,936,108811,40-44,F,28,30,31,926.0,0,0.0,1.0,0.0
735184,2017-08-19,2017-08-19,936,108817,40-44,F,63,66,67,4412.0,1,1.450000048,1.0,0.0
735189,2017-08-21,2017-08-21,936,108818,40-44,F,64,65,66,9965.0,3,4.050000072,1.0,0.0
735213,2017-08-21,2017-08-21,936,108822,45-49,F,10,16,11,73634.0,23,32.97999978,1.0,0.0
735220,2017-08-18,2017-08-18,936,108823,45-49,F,15,17,17,69708.0,20,31.28999949,1.0,0.0
735242,2017-08-18,2017-08-18,936,108826,45-49,F,19,25,21,530.0,0,0.0,1.0,0.0
735247,2017-08-18,2017-08-18,936,108827,45-49,F,20,24,25,14257.0,6,8.789999962,1.0,0.0
735289,2017-08-18,2017-08-18,936,108834,45-49,F,27,30,30,20362.0,5,9.119999886,1.0,1.0
735290,2017-08-18,2017-08-18,936,108834,45-49,F,27,29,33,12215.0,4,6.26000011,1.0,0.0
735298,2017-08-18,2017-08-18,936,108836,45-49,F,29,31,32,85412.0,28,38.63999999,2.0,1.0
736869,2017-08-18,2017-08-18,936,109448,30-34,M,2,6,8,2338.0,1,0.239999995,1.0,0.0
736890,2017-08-18,2017-08-18,936,109451,30-34,M,15,16,20,2522.0,0,0.0,1.0,0.0
736893,2017-08-18,2017-08-18,936,109452,30-34,M,16,17,17,3587.0,0,0.0,1.0,0.0
736977,2017-08-18,2017-08-18,936,109470,30-34,M,27,30,28,1273.0,0,0.0,1.0,0.0
736988,2017-08-21,2017-08-21,936,109472,30-34,M,28,29,29,3891.0,1,1.090000033,1.0,0.0
736995,2017-08-21,2017-08-21,936,109473,30-34,M,29,34,34,1888.0,0,0.0,1.0,0.0
736997,2017-08-21,2017-08-21,936,109473,30-34,M,29,32,33,1895.0,0,0.0,1.0,0.0
737097,2017-08-21,2017-08-21,936,109498,35-39,M,7,10,11,715.0,0,0.0,1.0,0.0
737130,2017-08-21,2017-08-21,936,109507,35-39,M,16,19,18,11199.0,2,2.680000067,1.0,0.0
737320,2017-08-18,2017-08-18,936,109553,35-39,M,63,64,66,5676.0,2,3.00999999,1.0,0.0
737375,2017-08-21,2017-08-21,936,109565,40-44,M,10,11,11,1415.0,0,0.0,1.0,0.0
737524,2017-08-21,2017-08-21,936,109601,40-44,M,30,34,33,2148.0,1,1.580000043,1.0,1.0
737644,2017-08-21,2017-08-21,936,109629,45-49,M,16,22,17,45401.0,10,14.06000042,1.0,0.0
737657,2017-08-18,2017-08-18,936,109633,45-49,M,18,23,20,7478.0,2,2.900000095,1.0,1.0
737658,2017-08-18,2017-08-18,936,109633,45-49,M,18,19,24,4919.0,1,1.590000033,1.0,0.0
737674,2017-08-20,2017-08-20,936,109637,45-49,M,20,21,24,533.0,0,0.0,1.0,1.0
737766,2017-08-20,2017-08-20,936,109659,45-49,M,29,33,33,1447.0,0,0.0,1.0,1.0
737896,2017-08-20,2017-08-20,936,109689,30-34,F,16,21,22,17553.0,3,4.590000153,1.0,0.0
737931,2017-08-20,2017-08-20,936,109698,30-34,F,20,26,24,3343.0,1,0.540000021,1.0,0.0
737961,2017-08-20,2017-08-20,936,109706,30-34,F,23,29,28,523.0,0,0.0,1.0,0.0
737995,2017-08-20,2017-08-20,936,109714,30-34,F,26,27,31,1873.0,0,0.0,1.0,0.0
738006,2017-08-20,2017-08-20,936,109717,30-34,F,27,29,32,34740.0,7,13.41000009,1.0,1.0
738067,2017-08-20,2017-08-20,936,109731,30-34,F,32,37,36,658.0,0,0.0,1.0,0.0
738098,2017-08-20,2017-08-20,936,109738,30-34,F,64,70,68,1539.0,0,0.0,1.0,0.0
738307,2017-08-20,2017-08-20,936,109788,35-39,F,31,36,36,3010.0,1,0.860000014,1.0,1.0
738389,2017-08-19,2017-08-19,936,109808,40-44,F,10,16,12,27081.0,9,10.77000046,1.0,1.0
738408,2017-08-19,2017-08-19,936,109813,40-44,F,16,22,22,20233.0,4,5.590000153,3.0,0.0
738413,2017-08-19,2017-08-19,936,109813,40-44,F,16,17,19,147159.0,36,58.16000044,3.0,1.0
738423,2017-08-19,2017-08-19,936,109816,40-44,F,18,20,24,21664.0,7,10.61999977,1.0,1.0
738436,2017-08-19,2017-08-19,936,109820,40-44,F,19,21,20,9112.0,4,5.460000038,1.0,1.0
738463,2017-08-20,2017-08-20,936,109826,40-44,F,21,23,24,542.0,0,0.0,1.0,0.0
738528,2017-08-19,2017-08-19,936,109839,40-44,F,30,34,33,402.0,0,0.0,1.0,1.0
738560,2017-08-19,2017-08-19,936,109844,40-44,F,64,70,66,1338.0,0,0.0,1.0,0.0
738582,2017-08-19,2017-08-19,936,109848,45-49,F,10,16,12,46150.0,15,20.17999983,1.0,1.0
738592,2017-08-20,2017-08-20,936,109850,45-49,F,16,22,20,493821.0,116,176.3799977,4.0,1.0
738593,2017-08-20,2017-08-20,936,109850,45-49,F,16,17,21,92011.0,27,34.39000046,2.0,1.0
738598,2017-08-21,2017-08-21,936,109851,45-49,F,18,23,24,12956.0,4,5.49000001,1.0,1.0
738606,2017-08-21,2017-08-21,936,109852,45-49,F,19,20,23,529.0,0,0.0,1.0,0.0
738637,2017-08-21,2017-08-21,936,109857,45-49,F,24,26,30,944.0,1,1.419999957,1.0,0.0
738648,2017-08-18,2017-08-18,936,109859,45-49,F,26,30,27,111090.0,38,51.97000027,5.0,1.0
747212,2017-08-18,2017-08-18,936,110836,30-34,M,10,16,14,7208.0,2,3.190000057,1.0,0.0
747213,2017-08-18,2017-08-18,936,110836,30-34,M,10,12,11,1746.0,0,0.0,1.0,0.0
747220,2017-08-18,2017-08-18,936,110837,30-34,M,15,17,16,2474.0,0,0.0,2.0,2.0
747222,2017-08-18,2017-08-18,936,110838,30-34,M,16,22,20,12489.0,2,1.960000038,1.0,0.0
747223,2017-08-18,2017-08-18,936,110838,30-34,M,16,18,18,8032.0,1,0.600000024,2.0,0.0
747248,2017-08-21,2017-08-21,936,110842,30-34,M,21,24,24,472.0,0,0.0,1.0,1.0
747332,2017-08-21,2017-08-21,936,110856,30-34,M,64,68,65,792.0,0,0.0,1.0,1.0
747362,2017-08-21,2017-08-21,936,110861,35-39,M,15,16,18,4607.0,1,1.149999976,1.0,1.0
747369,2017-08-21,2017-08-21,936,110862,35-39,M,16,17,21,13355.0,2,3.180000067,1.0,1.0
747370,2017-08-20,2017-08-20,936,110862,35-39,M,16,17,19,2936.0,0,0.0,1.0,0.0
747401,2017-08-21,2017-08-21,936,110867,35-39,M,22,25,25,2793.0,1,0.980000019,1.0,1.0
747435,2017-08-21,2017-08-21,936,110873,35-39,M,28,29,30,1032.0,0,0.0,1.0,0.0
747439,2017-08-21,2017-08-21,936,110874,35-39,M,29,35,33,1662.0,0,0.0,1.0,1.0
747489,2017-08-21,2017-08-21,936,110882,40-44,M,2,7,6,4016.0,2,1.480000049,1.0,1.0
747514,2017-08-21,2017-08-21,936,110886,40-44,M,16,20,17,14843.0,3,2.939999938,1.0,1.0
747645,2017-08-21,2017-08-21,936,110908,45-49,M,10,14,13,9674.0,3,4.600000024,1.0,1.0
747659,2017-08-25,2017-08-25,936,110910,45-49,M,16,21,17,12186.0,2,2.669999957,1.0,0.0
747675,2017-08-25,2017-08-25,936,110913,45-49,M,20,22,21,673.0,0,0.0,1.0,0.0
747678,2017-08-25,2017-08-25,936,110914,45-49,M,21,27,23,370.0,0,0.0,1.0,1.0
747712,2017-08-24,2017-08-24,936,110919,45-49,M,26,30,29,450.0,0,0.0,1.0,1.0
747790,2017-08-24,2017-08-24,936,110932,30-34,F,10,12,14,2077.0,0,0.0,1.0,1.0
747791,2017-08-25,2017-08-25,936,110932,30-34,F,10,14,13,31393.0,8,10.96000051,1.0,1.0
747795,2017-08-25,2017-08-25,936,110933,30-34,F,15,21,18,8410.0,2,2.359999895,1.0,1.0
747798,2017-08-25,2017-08-25,936,110934,30-34,F,16,21,20,25884.0,5,7.350000143,1.0,0.0
747824,2017-08-25,2017-08-25,936,110938,30-34,F,21,24,23,608.0,0,0.0,1.0,1.0
747828,2017-08-25,2017-08-25,936,110939,30-34,F,22,24,24,28488.0,10,9.340000033,1.0,0.0
747852,2017-08-24,2017-08-24,936,110943,30-34,F,26,32,32,10126.0,3,4.619999886,1.0,0.0
747859,2017-08-24,2017-08-24,936,110944,30-34,F,27,32,33,22572.0,5,8.5,1.0,0.0
747863,2017-08-24,2017-08-24,936,110944,30-34,F,27,30,33,1955.0,0,0.0,1.0,1.0
747879,2017-08-24,2017-08-24,936,110947,30-34,F,30,36,31,493.0,0,0.0,1.0,0.0
747903,2017-08-24,2017-08-24,936,110951,30-34,F,63,69,69,1491.0,0,0.0,1.0,1.0
747911,2017-08-24,2017-08-24,936,110952,30-34,F,64,66,66,1495.0,0,0.0,1.0,1.0
747968,2017-08-24,2017-08-24,936,110962,35-39,F,21,27,24,512.0,0,0.0,0.0,0.0
747991,2017-08-24,2017-08-24,936,110966,35-39,F,25,31,27,4868.0,2,2.420000076,1.0,0.0
748000,2017-08-24,2017-08-24,936,110967,35-39,F,26,27,32,6585.0,2,2.950000048,1.0,0.0
748007,2017-08-24,2017-08-24,936,110968,35-39,F,27,29,28,10164.0,2,3.720000029,1.0,1.0
748014,2017-08-24,2017-08-24,936,110970,35-39,F,29,31,35,11182.0,4,4.449999809,1.0,0.0
748045,2017-08-25,2017-08-25,936,110975,35-39,F,63,69,64,1238.0,0,0.0,1.0,0.0
748086,2017-08-25,2017-08-25,936,110982,40-44,F,16,19,18,34127.0,8,13.07000017,1.0,0.0
748087,2017-08-26,2017-08-26,936,110982,40-44,F,16,22,19,29466.0,7,10.84999967,2.0,0.0
748089,2017-08-26,2017-08-26,936,110982,40-44,F,16,18,21,38759.0,9,10.84999967,1.0,0.0
748091,2017-08-26,2017-08-26,936,110982,40-44,F,16,17,19,41720.0,10,12.06000006,1.0,1.0
748225,2017-08-26,2017-08-26,936,111005,45-49,F,15,16,17,18602.0,5,8.860000134,1.0,0.0
748230,2017-08-26,2017-08-26,936,111006,45-49,F,16,17,20,83929.0,21,27.72999954,4.0,1.0
748231,2017-08-27,2017-08-27,936,111006,45-49,F,16,18,21,25194.0,6,7.349999905,1.0,0.0
748233,2017-08-27,2017-08-27,936,111006,45-49,F,16,22,18,78627.0,19,26.53000045,1.0,0.0
748235,2017-08-26,2017-08-26,936,111006,45-49,F,16,18,19,102695.0,25,39.42999983,3.0,0.0
748294,2017-08-26,2017-08-26,936,111016,45-49,F,27,32,31,82827.0,24,47.93000031,3.0,0.0
748295,2017-08-26,2017-08-26,936,111016,45-49,F,27,31,32,9240.0,3,6.039999962,1.0,0.0
748303,2017-08-25,2017-08-25,936,111018,45-49,F,29,32,33,7706.0,2,2.369999886,1.0,0.0
748314,2017-08-25,2017-08-25,936,111020,45-49,F,31,34,32,7821.0,4,6.340000153,1.0,1.0
748341,2017-08-25,2017-08-25,936,111024,45-49,F,64,67,68,1363.0,0,0.0,1.0,1.0
776318,2017-08-25,2017-08-25,936,115484,45-49,F,15,16,19,3569.0,0,0.0,1.0,1.0
776322,2017-08-25,2017-08-25,936,115485,45-49,F,16,21,20,119063.0,34,53.21999949,1.0,0.0
776323,2017-08-26,2017-08-26,936,115485,45-49,F,16,17,18,99078.0,23,35.79999948,2.0,0.0
776325,2017-08-26,2017-08-26,936,115485,45-49,F,16,19,20,452398.0,114,180.2200012,1.0,0.0
776334,2017-08-26,2017-08-26,936,115487,45-49,F,10,12,16,191223.0,48,76.41000056,1.0,0.0
776336,2017-08-26,2017-08-26,936,115487,45-49,F,10,15,14,22216.0,6,9.549999952,1.0,0.0
776338,2017-08-23,2017-08-23,936,115487,45-49,F,10,12,11,48291.0,11,18.01999998,1.0,0.0
776353,2017-08-23,2017-08-23,936,115490,40-44,F,63,66,67,27559.0,8,13.37,1.0,0.0
776373,2017-08-21,2017-08-21,936,115493,45-49,F,25,27,27,10194.0,4,4.590000033,2.0,1.0
776383,2017-08-21,2017-08-21,936,115495,45-49,F,23,27,29,1168.0,0,0.0,1.0,1.0
776405,2017-08-21,2017-08-21,936,115498,45-49,F,21,25,22,40126.0,16,25.86000001,1.0,0.0
776416,2017-08-21,2017-08-21,936,115500,45-49,F,19,22,20,3659.0,1,0.49000001,1.0,1.0
776430,2017-08-22,2017-08-22,936,115503,30-34,M,10,14,16,3200.0,0,0.0,1.0,0.0
776464,2017-08-22,2017-08-22,936,115508,45-49,F,29,30,31,7550.0,1,1.679999948,1.0,1.0
776469,2017-08-22,2017-08-22,936,115509,45-49,F,28,33,29,45397.0,15,25.41999936,1.0,1.0
776473,2017-08-22,2017-08-22,936,115510,30-34,M,16,22,22,23086.0,2,3.310000062,1.0,1.0
776475,2017-08-21,2017-08-21,936,115510,30-34,M,16,21,20,16425.0,1,1.549999952,1.0,0.0
776476,2017-08-21,2017-08-21,936,115510,30-34,M,16,17,18,43756.0,5,5.439999938,0.0,0.0
776477,2017-08-21,2017-08-21,936,115510,30-34,M,16,22,17,9982.0,0,0.0,1.0,0.0
776489,2017-08-21,2017-08-21,936,115512,45-49,F,26,31,28,175389.0,55,81.60999787,1.0,0.0
776494,2017-08-21,2017-08-21,936,115513,30-34,M,15,16,16,7015.0,0,0.0,1.0,0.0
